Frame,Timestamp,Plate_Number,Confidence,Offending_Violation,Is_Offender,Latitude,Longitude,Road_Segment,Bus_ID,Estimated_Speed_kmh
45,2026-09-13 23:32:41,DL-08-KL-1145,0.93,SPEEDING IN SCHOOL ZONE,YES,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,48.5
45,2026-09-13 23:32:41,KA-51-AA-7201,0.91,SPEEDING IN SCHOOL ZONE,YES,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,47.5
45,2026-09-13 23:32:41,DL-08-KL-1145,0.93,NORMAL SPEED,NO,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,28.5
54,2026-09-13 23:32:42,MH-12-RT-4556,0.91,SPEEDING IN SCHOOL ZONE,YES,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.6
54,2026-09-13 23:32:42,UP-53-BG-9912,0.92,SPEEDING IN SCHOOL ZONE,YES,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,40.6
54,2026-09-13 23:32:42,MH-02-EE-3104,0.85,SPEEDING IN SCHOOL ZONE,YES,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.6
63,2026-09-13 23:32:42,UP-53-BG-9912,0.93,NORMAL SPEED,NO,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,34.4
63,2026-09-13 23:32:42,KA-04-MB-4819,0.91,SPEEDING IN SCHOOL ZONE,YES,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,45.4
63,2026-09-13 23:32:42,KA-04-MB-4819,0.91,SPEEDING IN SCHOOL ZONE,YES,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.4
63,2026-09-13 23:32:42,MH-02-EE-3104,0.86,SPEEDING IN SCHOOL ZONE,YES,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.4
63,2026-09-13 23:32:42,MH-02-EE-3104,0.86,SPEEDING IN SCHOOL ZONE,YES,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.4
72,2026-09-13 23:32:43,KA-03-NJ-6023,0.86,SPEEDING IN SCHOOL ZONE,YES,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,47.1
72,2026-09-13 23:32:43,DL-01-CZ-8291,0.9,SPEEDING IN SCHOOL ZONE,YES,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,50.1
72,2026-09-13 23:32:43,MH-02-EE-3104,0.87,SPEEDING IN SCHOOL ZONE,YES,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.1
81,2026-09-13 23:32:44,DL-08-KL-1145,0.92,SPEEDING IN SCHOOL ZONE,YES,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,41.6
81,2026-09-13 23:32:44,KA-51-AA-7201,0.9,SPEEDING IN SCHOOL ZONE,YES,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,44.6
90,2026-09-13 23:32:44,KA-04-MB-4819,0.94,SPEEDING IN SCHOOL ZONE,YES,26.755661,83.372147,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,53.9
90,2026-09-13 23:32:44,UP-53-BG-9912,0.96,SPEEDING IN SCHOOL ZONE,YES,26.755661,83.372147,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,40.9
99,2026-09-13 23:32:45,MH-12-RT-4556,0.91,SPEEDING IN SCHOOL ZONE,YES,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,48.0
99,2026-09-13 23:32:45,KA-03-NJ-6023,0.84,SPEEDING IN SCHOOL ZONE,YES,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.0
108,2026-09-13 23:32:45,KA-51-AA-7201,0.88,NORMAL SPEED,NO,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.9
108,2026-09-13 23:32:45,MH-12-RT-4556,0.92,SPEEDING IN SCHOOL ZONE,YES,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.9
117,2026-09-13 23:32:46,DL-08-KL-1145,0.91,SPEEDING IN SCHOOL ZONE,YES,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.6
117,2026-09-13 23:32:46,KA-04-MB-4819,0.92,SPEEDING IN SCHOOL ZONE,YES,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,38.6
117,2026-09-13 23:32:46,KA-04-MB-4819,0.92,NORMAL SPEED,NO,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,32.6
126,2026-09-13 23:32:46,UP-53-BG-9912,0.95,SPEEDING IN SCHOOL ZONE,YES,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,42.1
126,2026-09-13 23:32:46,KA-03-NJ-6023,0.87,SPEEDING IN SCHOOL ZONE,YES,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,45.1
135,2026-09-13 23:32:47,MH-02-EE-3104,0.89,NORMAL SPEED,NO,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.4
135,2026-09-13 23:32:47,DL-08-KL-1145,0.93,SPEEDING IN SCHOOL ZONE,YES,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.4
135,2026-09-13 23:32:47,KA-04-MB-4819,0.94,NORMAL SPEED,NO,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.4
144,2026-09-13 23:32:47,KA-04-MB-4819,0.9,SPEEDING IN SCHOOL ZONE,YES,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,45.6
144,2026-09-13 23:32:47,MH-02-EE-3104,0.85,SPEEDING IN SCHOOL ZONE,YES,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,41.6
153,2026-09-13 23:32:48,UP-53-BG-9912,0.93,NORMAL SPEED,NO,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,30.6
153,2026-09-13 23:32:48,KA-04-MB-4819,0.91,NORMAL SPEED,NO,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.6
162,2026-09-13 23:32:48,UP-53-BG-9912,0.94,NORMAL SPEED,NO,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,34.4
162,2026-09-13 23:32:48,KA-03-NJ-6023,0.86,NORMAL SPEED,NO,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.4
162,2026-09-13 23:32:48,UP-53-BG-9912,0.94,SPEEDING IN SCHOOL ZONE,YES,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.4
162,2026-09-13 23:32:48,KA-04-MB-4819,0.92,NORMAL SPEED,NO,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.4
171,2026-09-13 23:32:49,KA-51-AA-7201,0.9,SPEEDING IN SCHOOL ZONE,YES,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,51.2
171,2026-09-13 23:32:49,KA-04-MB-4819,0.93,NORMAL SPEED,NO,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.2
171,2026-09-13 23:32:49,MH-02-EE-3104,0.88,NORMAL SPEED,NO,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,29.2
180,2026-09-13 23:32:49,MH-02-EE-3104,0.89,NORMAL SPEED,NO,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,24.8
180,2026-09-13 23:32:49,MH-12-RT-4556,0.95,NORMAL SPEED,NO,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.8
189,2026-09-13 23:32:50,UP-53-BG-9912,0.92,SPEEDING IN SCHOOL ZONE,YES,26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,41.5
198,2026-09-13 23:32:50,KA-03-NJ-6023,0.85,NORMAL SPEED,NO,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,30.0
207,2026-09-13 23:32:51,KA-03-NJ-6023,0.86,SPEEDING IN SCHOOL ZONE,YES,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,43.6
207,2026-09-13 23:32:51,UP-53-BG-9912,0.94,NORMAL SPEED,NO,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,32.6
216,2026-09-13 23:32:51,MH-02-EE-3104,0.88,NORMAL SPEED,NO,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,29.2
216,2026-09-13 23:32:51,KA-51-AA-7201,0.9,NORMAL SPEED,NO,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,21.2
225,2026-09-13 23:32:52,UP-53-BG-9912,0.96,NORMAL SPEED,NO,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,25.9
225,2026-09-13 23:32:52,KA-03-NJ-6023,0.88,SPEEDING IN SCHOOL ZONE,YES,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,38.9
225,2026-09-13 23:32:52,UP-53-BG-9912,0.96,NORMAL SPEED,NO,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,25.9
234,2026-09-13 23:32:52,KA-51-AA-7201,0.87,NORMAL SPEED,NO,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,32.6
243,2026-09-13 23:32:53,UP-53-BG-9912,0.93,NORMAL SPEED,NO,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,17.5
243,2026-09-13 23:32:53,DL-01-CZ-8291,0.89,NORMAL SPEED,NO,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,25.5
252,2026-09-13 23:32:53,MH-12-RT-4556,0.93,SPEEDING IN SCHOOL ZONE,YES,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,37.5
252,2026-09-13 23:32:53,KA-03-NJ-6023,0.86,NORMAL SPEED,NO,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,28.5
261,2026-09-13 23:32:54,MH-12-RT-4556,0.94,NORMAL SPEED,NO,26.749797,83.378461,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,33.6
261,2026-09-13 23:32:54,MH-02-EE-3104,0.88,NORMAL SPEED,NO,26.749797,83.378461,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,30.6
261,2026-09-13 23:32:54,KA-04-MB-4819,0.93,NORMAL SPEED,NO,26.749797,83.378461,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,14.6
270,2026-09-13 23:32:54,KA-51-AA-7201,0.91,NORMAL SPEED,NO,26.749299,83.379244,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,30.9
342,2026-09-13 23:32:59,KA-51-AA-7201,0.89,NORMAL SPEED,NO,26.745623,83.385021,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.4
351,2026-09-13 23:32:59,UP-53-BG-9912,0.95,NORMAL SPEED,NO,26.745358,83.385437,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,17.4
351,2026-09-13 23:32:59,MH-02-EE-3104,0.88,NORMAL SPEED,NO,26.745358,83.385437,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,34.4
360,2026-09-13 23:33:00,KA-03-NJ-6023,0.88,NORMAL SPEED,NO,26.745164,83.385743,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.5
369,2026-09-13 23:33:00,DL-08-KL-1145,0.89,NORMAL SPEED,NO,26.745043,83.385932,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,19.8
378,2026-09-13 23:33:01,KA-04-MB-4819,0.91,SPEEDING IN SCHOOL ZONE,YES,26.745,83.386,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,35.1
378,2026-09-13 23:33:01,KA-04-MB-4819,0.91,SPEEDING IN SCHOOL ZONE,YES,26.745,83.386,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,41.1
387,2026-09-13 23:33:01,DL-08-KL-1145,0.91,NORMAL SPEED,NO,26.744968,83.38606,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,26.5
387,2026-09-13 23:33:01,KA-04-MB-4819,0.92,SPEEDING IN SCHOOL ZONE,YES,26.744968,83.38606,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,43.5
396,2026-09-13 23:33:02,DL-01-CZ-8291,0.91,SPEEDING IN SCHOOL ZONE,YES,26.744866,83.386251,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,40.9
396,2026-09-13 23:33:02,KA-04-MB-4819,0.93,SPEEDING IN SCHOOL ZONE,YES,26.744866,83.386251,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,37.9
459,2026-09-13 23:33:05,KA-04-MB-4819,0.9,SPEEDING IN SCHOOL ZONE,YES,26.742543,83.390606,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,53.4
495,2026-09-13 23:33:07,KA-04-MB-4819,0.94,SPEEDING IN SCHOOL ZONE,YES,26.740663,83.394131,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,57.0
504,2026-09-13 23:33:08,KA-51-AA-7201,0.87,SPEEDING IN SCHOOL ZONE,YES,26.740231,83.394942,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,41.9
684,2026-09-13 23:33:18,KA-03-NJ-6023,0.84,SPEEDING IN SCHOOL ZONE,YES,26.727046,83.411513,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,36.1
693,2026-09-13 23:33:18,MH-02-EE-3104,0.86,NORMAL SPEED,NO,26.725888,83.412868,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,29.0
702,2026-09-13 23:33:19,KA-04-MB-4819,0.92,NORMAL SPEED,NO,26.724823,83.414114,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,16.1
711,2026-09-13 23:33:19,KA-04-MB-4819,0.93,NORMAL SPEED,NO,26.723874,83.415223,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,23.4
