Frame,Timestamp,Detection,Confidence,Estimated_Depth_cm,Severity,Area_px,X1,Y1,X2,Y2,Source,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
36,2026-09-14 09:20:44,POTHOLE,0.81,9.6,CRITICAL,1417,307,276,373,326,SURFACE_CAVITY_AI,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
36,2026-09-14 09:20:44,POTHOLE,0.75,3.6,MEDIUM,228,14,204,43,234,SURFACE_CAVITY_AI,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
36,2026-09-14 09:20:44,POTHOLE,0.75,3.6,MEDIUM,214,351,357,375,391,SURFACE_CAVITY_AI,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
36,2026-09-14 09:20:44,POTHOLE,0.75,3.3,MEDIUM,159,324,382,349,401,SURFACE_CAVITY_AI,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
45,2026-09-14 09:20:45,POTHOLE,0.74,2.7,MEDIUM,37,41,261,59,268,SURFACE_CAVITY_AI,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
45,2026-09-14 09:20:45,POTHOLE,0.74,2.7,MEDIUM,46,312,361,324,375,SURFACE_CAVITY_AI,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
54,2026-09-14 09:20:45,POTHOLE,0.74,2.7,MEDIUM,40,314,385,321,403,SURFACE_CAVITY_AI,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
54,2026-09-14 09:20:45,POTHOLE,0.75,3.0,MEDIUM,105,328,359,341,399,SURFACE_CAVITY_AI,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
54,2026-09-14 09:20:45,POTHOLE,0.75,3.1,MEDIUM,129,336,330,374,348,SURFACE_CAVITY_AI,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
54,2026-09-14 09:20:45,POTHOLE,0.74,2.8,MEDIUM,54,139,231,151,242,SURFACE_CAVITY_AI,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
63,2026-09-14 09:20:46,POTHOLE,0.84,12.3,CRITICAL,1962,13,204,93,268,SURFACE_CAVITY_AI,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
63,2026-09-14 09:20:46,POTHOLE,0.76,4.8,HIGH,470,214,230,251,267,SURFACE_CAVITY_AI,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
63,2026-09-14 09:20:46,POTHOLE,0.8,8.7,CRITICAL,1233,307,295,375,381,SURFACE_CAVITY_AI,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
63,2026-09-14 09:20:46,POTHOLE,0.74,2.7,MEDIUM,35,181,252,190,264,SURFACE_CAVITY_AI,26.757104,83.371022,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
72,2026-09-14 09:20:46,POTHOLE,0.82,10.8,CRITICAL,1652,307,364,376,403,SURFACE_CAVITY_AI,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
72,2026-09-14 09:20:46,POTHOLE,0.79,7.5,CRITICAL,992,307,275,350,363,SURFACE_CAVITY_AI,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
81,2026-09-14 09:20:47,POTHOLE,0.89,14.5,CRITICAL,2980,162,204,301,268,SURFACE_CAVITY_AI,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
81,2026-09-14 09:20:47,POTHOLE,0.86,14.3,CRITICAL,2359,13,204,87,268,SURFACE_CAVITY_AI,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
81,2026-09-14 09:20:47,POTHOLE,0.75,4.0,HIGH,306,136,241,173,268,SURFACE_CAVITY_AI,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
81,2026-09-14 09:20:47,POTHOLE,0.75,3.6,MEDIUM,225,277,249,307,268,SURFACE_CAVITY_AI,26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
90,2026-09-14 09:20:48,POTHOLE,0.75,3.1,MEDIUM,114,337,204,369,220,SURFACE_CAVITY_AI,26.755661,83.372147,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
99,2026-09-14 09:20:48,POTHOLE,0.77,5.9,HIGH,671,306,204,369,238,SURFACE_CAVITY_AI,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
99,2026-09-14 09:20:48,POTHOLE,0.75,3.7,MEDIUM,234,307,383,334,403,SURFACE_CAVITY_AI,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
99,2026-09-14 09:20:48,POTHOLE,0.75,3.2,MEDIUM,147,248,204,275,219,SURFACE_CAVITY_AI,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
99,2026-09-14 09:20:48,POTHOLE,0.74,2.7,MEDIUM,48,222,210,240,220,SURFACE_CAVITY_AI,26.755153,83.372542,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
108,2026-09-14 09:20:49,POTHOLE,0.74,2.8,MEDIUM,69,355,205,369,215,SURFACE_CAVITY_AI,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
108,2026-09-14 09:20:49,POTHOLE,0.74,2.7,MEDIUM,34,362,219,370,233,SURFACE_CAVITY_AI,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
117,2026-09-14 09:20:49,POTHOLE,0.78,7.1,CRITICAL,913,331,291,375,356,SURFACE_CAVITY_AI,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
117,2026-09-14 09:20:49,POTHOLE,0.77,5.8,HIGH,669,303,221,352,271,SURFACE_CAVITY_AI,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
117,2026-09-14 09:20:49,POTHOLE,0.77,5.6,HIGH,614,322,365,376,403,SURFACE_CAVITY_AI,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
117,2026-09-14 09:20:49,POTHOLE,0.75,3.3,MEDIUM,151,286,257,318,268,SURFACE_CAVITY_AI,26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
126,2026-09-14 09:20:50,POTHOLE,0.79,7.2,CRITICAL,943,307,314,357,353,SURFACE_CAVITY_AI,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
126,2026-09-14 09:20:50,POTHOLE,0.75,3.8,MEDIUM,258,307,273,340,294,SURFACE_CAVITY_AI,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
126,2026-09-14 09:20:50,POTHOLE,0.75,3.2,MEDIUM,145,15,206,40,225,SURFACE_CAVITY_AI,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
126,2026-09-14 09:20:50,POTHOLE,0.75,3.5,MEDIUM,197,343,266,372,289,SURFACE_CAVITY_AI,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
135,2026-09-14 09:20:50,POTHOLE,0.78,6.3,CRITICAL,765,151,245,231,268,SURFACE_CAVITY_AI,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
135,2026-09-14 09:20:50,POTHOLE,0.77,6.0,CRITICAL,696,91,204,193,236,SURFACE_CAVITY_AI,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
135,2026-09-14 09:20:50,POTHOLE,0.76,4.2,HIGH,341,250,246,288,268,SURFACE_CAVITY_AI,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
135,2026-09-14 09:20:50,POTHOLE,0.75,3.2,MEDIUM,132,13,256,39,268,SURFACE_CAVITY_AI,26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
144,2026-09-14 09:20:51,POTHOLE,0.74,3.0,MEDIUM,96,338,261,371,272,SURFACE_CAVITY_AI,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
144,2026-09-14 09:20:51,POTHOLE,0.74,2.7,MEDIUM,37,221,232,237,244,SURFACE_CAVITY_AI,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
144,2026-09-14 09:20:51,POTHOLE,0.74,2.8,MEDIUM,51,19,222,30,234,SURFACE_CAVITY_AI,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
144,2026-09-14 09:20:51,POTHOLE,0.74,2.8,MEDIUM,66,339,282,362,295,SURFACE_CAVITY_AI,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
153,2026-09-14 09:20:51,POTHOLE,0.86,14.4,CRITICAL,2370,300,204,371,262,SURFACE_CAVITY_AI,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
153,2026-09-14 09:20:51,POTHOLE,0.83,11.3,CRITICAL,1751,13,204,96,267,SURFACE_CAVITY_AI,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
153,2026-09-14 09:20:51,POTHOLE,0.8,9.0,CRITICAL,1307,307,344,375,403,SURFACE_CAVITY_AI,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
153,2026-09-14 09:20:51,POTHOLE,0.77,5.4,HIGH,576,144,235,195,268,SURFACE_CAVITY_AI,26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
162,2026-09-14 09:20:52,POTHOLE,0.87,14.5,CRITICAL,2616,242,204,371,264,SURFACE_CAVITY_AI,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
162,2026-09-14 09:20:52,POTHOLE,0.87,14.5,CRITICAL,2638,13,205,180,268,SURFACE_CAVITY_AI,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
162,2026-09-14 09:20:52,POTHOLE,0.76,4.3,HIGH,356,115,204,177,226,SURFACE_CAVITY_AI,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
162,2026-09-14 09:20:52,POTHOLE,0.74,2.8,MEDIUM,56,209,210,232,217,SURFACE_CAVITY_AI,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
171,2026-09-14 09:20:52,POTHOLE,0.79,7.2,CRITICAL,944,179,204,273,238,SURFACE_CAVITY_AI,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
171,2026-09-14 09:20:52,POTHOLE,0.74,2.7,MEDIUM,40,145,204,169,223,SURFACE_CAVITY_AI,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
171,2026-09-14 09:20:52,POTHOLE,0.75,3.6,MEDIUM,225,134,222,181,250,SURFACE_CAVITY_AI,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
171,2026-09-14 09:20:52,POTHOLE,0.74,2.9,MEDIUM,84,133,243,162,258,SURFACE_CAVITY_AI,26.752155,83.374879,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
180,2026-09-14 09:20:53,POTHOLE,0.78,6.9,CRITICAL,886,160,214,268,255,SURFACE_CAVITY_AI,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
180,2026-09-14 09:20:53,POTHOLE,0.74,2.7,MEDIUM,49,172,256,208,268,SURFACE_CAVITY_AI,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
180,2026-09-14 09:20:53,POTHOLE,0.74,2.8,MEDIUM,51,138,205,155,215,SURFACE_CAVITY_AI,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
180,2026-09-14 09:20:53,POTHOLE,0.74,2.9,MEDIUM,77,331,280,351,291,SURFACE_CAVITY_AI,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
189,2026-09-14 09:20:53,POTHOLE,0.84,12.8,CRITICAL,2056,186,204,372,288,SURFACE_CAVITY_AI,26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
189,2026-09-14 09:20:53,POTHOLE,0.75,3.0,MEDIUM,106,335,229,367,240,SURFACE_CAVITY_AI,26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
189,2026-09-14 09:20:53,POTHOLE,0.75,3.9,MEDIUM,282,308,284,363,301,SURFACE_CAVITY_AI,26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
189,2026-09-14 09:20:53,POTHOLE,0.75,3.2,MEDIUM,135,307,319,335,330,SURFACE_CAVITY_AI,26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
198,2026-09-14 09:20:54,POTHOLE,0.79,7.6,CRITICAL,1013,260,209,337,253,SURFACE_CAVITY_AI,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
198,2026-09-14 09:20:54,POTHOLE,0.78,6.2,CRITICAL,739,316,291,373,345,SURFACE_CAVITY_AI,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
198,2026-09-14 09:20:54,POTHOLE,0.74,2.7,MEDIUM,34,16,239,23,251,SURFACE_CAVITY_AI,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
198,2026-09-14 09:20:54,POTHOLE,0.75,3.2,MEDIUM,150,349,362,375,380,SURFACE_CAVITY_AI,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
207,2026-09-14 09:20:54,POTHOLE,0.77,5.8,HIGH,663,296,234,371,275,SURFACE_CAVITY_AI,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
207,2026-09-14 09:20:54,POTHOLE,0.79,7.6,CRITICAL,1029,244,204,349,239,SURFACE_CAVITY_AI,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
207,2026-09-14 09:20:54,POTHOLE,0.76,4.3,HIGH,362,322,303,356,340,SURFACE_CAVITY_AI,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
207,2026-09-14 09:20:54,POTHOLE,0.75,3.1,MEDIUM,128,81,204,103,223,SURFACE_CAVITY_AI,26.751849,83.375237,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
216,2026-09-14 09:20:55,POTHOLE,0.81,10.2,CRITICAL,1530,307,258,373,319,SURFACE_CAVITY_AI,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
216,2026-09-14 09:20:55,POTHOLE,0.8,8.4,CRITICAL,1171,13,204,64,268,SURFACE_CAVITY_AI,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
216,2026-09-14 09:20:55,POTHOLE,0.78,6.9,CRITICAL,889,339,321,376,403,SURFACE_CAVITY_AI,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
216,2026-09-14 09:20:55,POTHOLE,0.75,3.9,MEDIUM,289,86,205,114,233,SURFACE_CAVITY_AI,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
225,2026-09-14 09:20:55,POTHOLE,0.81,9.3,CRITICAL,1366,13,204,66,268,SURFACE_CAVITY_AI,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
225,2026-09-14 09:20:55,POTHOLE,0.75,3.9,MEDIUM,280,344,268,372,296,SURFACE_CAVITY_AI,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
225,2026-09-14 09:20:55,POTHOLE,0.75,3.3,MEDIUM,155,335,286,358,303,SURFACE_CAVITY_AI,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
225,2026-09-14 09:20:55,POTHOLE,0.76,4.7,HIGH,434,348,303,376,383,SURFACE_CAVITY_AI,26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
234,2026-09-14 09:20:56,POTHOLE,0.83,12.1,CRITICAL,1928,300,204,371,267,SURFACE_CAVITY_AI,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
234,2026-09-14 09:20:56,POTHOLE,0.8,8.9,CRITICAL,1281,29,204,95,268,SURFACE_CAVITY_AI,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
234,2026-09-14 09:20:56,POTHOLE,0.75,3.1,MEDIUM,111,362,318,374,339,SURFACE_CAVITY_AI,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
234,2026-09-14 09:20:56,POTHOLE,0.74,2.7,MEDIUM,33,362,392,376,403,SURFACE_CAVITY_AI,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
243,2026-09-14 09:20:56,POTHOLE,0.77,5.5,HIGH,590,60,204,83,268,SURFACE_CAVITY_AI,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
243,2026-09-14 09:20:56,POTHOLE,0.77,5.5,HIGH,609,13,217,45,268,SURFACE_CAVITY_AI,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
243,2026-09-14 09:20:56,POTHOLE,0.79,7.7,CRITICAL,1030,320,204,371,259,SURFACE_CAVITY_AI,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
243,2026-09-14 09:20:56,POTHOLE,0.75,3.1,MEDIUM,124,14,204,39,232,SURFACE_CAVITY_AI,26.750697,83.377048,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
252,2026-09-14 09:20:57,POTHOLE,0.8,8.7,CRITICAL,1238,307,326,341,401,SURFACE_CAVITY_AI,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
252,2026-09-14 09:20:57,POTHOLE,0.78,6.1,CRITICAL,719,66,204,98,268,SURFACE_CAVITY_AI,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
252,2026-09-14 09:20:57,POTHOLE,0.75,3.7,MEDIUM,243,25,204,53,240,SURFACE_CAVITY_AI,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
