Frame,Timestamp,Defect_Type,Severity,Recommended_Action,Latitude,Longitude,Road_Segment,Bus_ID,Speed_kmh
675,2026-09-13 23:33:17,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.728271,83.41008,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.4
684,2026-09-13 23:33:18,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.727046,83.411513,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.1
693,2026-09-13 23:33:18,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.725888,83.412868,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.0
702,2026-09-13 23:33:19,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.724823,83.414114,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.1
711,2026-09-13 23:33:19,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.723874,83.415223,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.4
720,2026-09-13 23:33:20,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.723063,83.416172,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.9
729,2026-09-13 23:33:20,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.722407,83.416939,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,21.5
738,2026-09-13 23:33:21,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.721922,83.417507,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,22.4
747,2026-09-13 23:33:21,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.721618,83.417863,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,23.4
756,2026-09-13 23:33:21,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.721501,83.417999,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,24.5
