Frame,Timestamp,Garbage_Type,Severity,Confidence,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
486,2026-09-14 09:21:09,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.741121,83.393273,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
504,2026-09-14 09:21:10,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.740231,83.394942,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
522,2026-09-14 09:21:11,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.739479,83.396351,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
540,2026-09-14 09:21:12,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.738934,83.397375,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
576,2026-09-14 09:21:14,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.73852,83.398094,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
594,2026-09-14 09:21:14,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.737801,83.398934,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
612,2026-09-14 09:21:15,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.736395,83.400579,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
648,2026-09-14 09:21:17,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.732071,83.405636,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
666,2026-09-14 09:21:18,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.729536,83.408601,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
684,2026-09-14 09:21:19,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.727046,83.411513,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
702,2026-09-14 09:21:20,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.724823,83.414114,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
720,2026-09-14 09:21:20,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.723063,83.416172,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
738,2026-09-14 09:21:21,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.721922,83.417507,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
756,2026-09-14 09:21:22,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.721501,83.417999,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
