Frame,Timestamp,Signal_ID,Fault_Type,Severity,Confidence,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
342,2026-09-14 07:31:51,SIG-10,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.745623,83.385021,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
360,2026-09-14 07:31:52,SIG-11,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.745164,83.385743,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
378,2026-09-14 07:31:53,SIG-11,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.745,83.386,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
396,2026-09-14 07:31:54,SIG-12,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.744866,83.386251,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
414,2026-09-14 07:31:55,SIG-12,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.74446,83.387012,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
432,2026-09-14 07:31:56,SIG-13,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.743819,83.388215,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
450,2026-09-14 07:31:57,SIG-13,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.742998,83.389753,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
468,2026-09-14 07:31:58,SIG-14,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.742072,83.39149,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
486,2026-09-14 07:31:59,SIG-14,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.741121,83.393273,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
504,2026-09-14 07:31:59,SIG-15,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.740231,83.394942,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
522,2026-09-14 07:32:00,SIG-15,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.739479,83.396351,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
540,2026-09-14 07:32:01,SIG-16,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.738934,83.397375,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
558,2026-09-14 07:32:02,SIG-16,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.738642,83.397922,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
576,2026-09-14 07:32:03,SIG-17,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.73852,83.398094,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
594,2026-09-14 07:32:04,SIG-17,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.737801,83.398934,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
612,2026-09-14 07:32:05,SIG-18,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.736395,83.400579,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
630,2026-09-14 07:32:06,SIG-19,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.734427,83.402881,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
648,2026-09-14 07:32:07,SIG-19,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.732071,83.405636,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
666,2026-09-14 07:32:08,SIG-20,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.729536,83.408601,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
684,2026-09-14 07:32:08,SIG-20,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.727046,83.411513,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
702,2026-09-14 07:32:09,SIG-21,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.724823,83.414114,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
720,2026-09-14 07:32:10,SIG-21,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.723063,83.416172,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
738,2026-09-14 07:32:11,SIG-22,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.721922,83.417507,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
756,2026-09-14 07:32:12,SIG-22,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.721501,83.417999,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
